Word;Translation;Sentence;SentenceTranslation
dać;to give;Proszę, możesz mi dać wodę?;Please, can you give me some water?
powiedziała;she said;Ona powiedziała, że przyjdzie później.;She said she will come later.
powiedziałeś;you said;Powiedziałeś mi, że to jest łatwe.;You told me it was easy.
najpierw;first;Najpierw musimy zrobić to zadanie.;First, we need to do this task.
sądzę;I think;Sądzę, że masz rację.;I think you're right.
prawo;law, right;Każdy człowiek ma prawo do wolności.;Every person has the right to freedom.
matka;mother;Moja matka jest bardzo troskliwa.;My mother is very caring.
dr;Dr.;Dr. Smith jest bardzo dobrym lekarzem.;Dr. Smith is a very good doctor.
podczas;during;Co robiłeś podczas wakacji?;What did you do during the vacation?
śmierci;death;To jest historia o miłości i śmierci.;This is a story about love and death.
pamiętam;I remember;Pamiętam to wydarzenie bardzo dobrze.;I remember that event very well.
uważaj;be careful;Uważaj, to jest bardzo delikatne.;Be careful, it's very delicate.
parę;a couple, a few;Muszę zrobić jeszcze parę rzeczy.;I need to do a few more things.
wrócić;to return, to come back;Czy wrócisz do domu późno?;Will you come back home late?
diabła;damn, devil;Co do diabła się stało?;What the hell happened?
the;the;The sun is shining.;Słońce świeci.
robię;I'm doing;Teraz robię kolację.;I'm making dinner now.
kobiety;women;Kobiety mają wiele talentów.;Women have many talents.
poważnie;seriously;Mówisz poważnie?;Are you serious?
znów;again;Spotkajmy się znów jutro.;Let's meet again tomorrow.
cholery;damn, damn it;Cholery! Znowu spóźniam się na spotkanie.;Damn it! I'm late for the meeting again.
zrobiłeś;you did;Zrobiłeś świetną robotę!;You did a great job!
sprawę;matter, case;Musimy omówić tę sprawę.;We need to discuss this matter.
powiesz;you will say;Powiesz jej prawdę?;Will you tell her the truth?
rób;do, make;Rób to, co sprawia ci radość.;Do what makes you happy.
natychmiast;immediately, right away;Musisz to zrobić natychmiast.;You need to do it right away.
dziewczyna;girl;Ta dziewczyna jest bardzo utalentowana.;That girl is very talented.
również;also, too;Ja również lubię tę książkę.;I also like this book.
działa;it works;Sprawdź, czy to działa.;Check if it works.
słyszałem;I heard;Słyszałem, że wygraliście nagrodę.;I heard that you won the award.
pięć;five;Mam pięć dolarów.;I have five dollars.
super;great, excellent;To jest super pomysł!;That's a great idea!
swoich;your, yours (plural possessive);Dbaj o swoje rzeczy, nie pozwól innym ich zniszczyć.;Take care of your things, don't let others destroy them.
mówią;they say;Mówią, że jutro będzie piękna pogoda.;They say that tomorrow will be beautiful weather.
witam;I welcome;Witam cię w naszej społeczności.;I welcome you to our community.
całkiem;quite, entirely;To jest całkiem inny problem.;This is a completely different problem.
cokolwiek;whatever, anything;Zrób cokolwiek, co sprawia ci radość.;Do whatever makes you happy.
witaj;hello, welcome;Witaj z powrotem!;Welcome back!
gdybym;if I were;Gdybym był bogaty, podróżowałbym po całym świecie.;If I were rich, I would travel the world.
żona;wife;Moja żona jest moją najlepszą przyjaciółką.;My wife is my best friend.
zostaw;leave, let go;Zostaw to za sobą i idź dalej.;Leave it behind and move on.
bóg;god;Wierzę w Boga.;I believe in God.
wierzę;I believe;Wierzę w twoje możliwości.;I believe in your abilities.
szybciej;faster, quicker;Musisz biegać szybciej.;You need to run faster.
nieźle;not bad;Nieźle się bawiliśmy na imprezie.;We had a good time at the party.
gra;game;Czy chciałbyś zagrać w tę grę?;Would you like to play this game?
dopiero;only, just;Dopiero zaczynam naukę języka angielskiego.;I'm just starting to learn English.
wcale;not at all;Nie przeszkadza mi to wcale.;It doesn't bother me at all.
godziny;hours;Pracowałem nad tym przez kilka godzin.;I worked on it for several hours.
wiedział;he knew;On wiedział, że to się stanie.;He knew that would happen.
stać;to stand, to afford;Nie stać mnie na ten luksus.;I can't afford that luxury.
wina;fault, blame;To nie jest twoja wina.;It's not your fault.
wiecie;you know (plural);Wiecie, co się stanie potem?;Do you know what happens next?
swojej;your, yours (feminine possessive);Nie jestem pewna swojej decyzji.;I'm not sure about my decision.
inne;other, different;To jest zupełnie inne niż się spodziewałem.;This is completely different than I expected.
jednym;one (masculine);To jest jednym z moich ulubionych filmów.;This is one of my favorite movies.
myślałam;I thought;Myślałam, że to będzie łatwiejsze.;I thought it would be easier.
chwili;moment, moment;Poczekaj chwilę, muszę coś sprawdzić.;Wait a moment, I need to check something.
dopóki;until, as long as;Będę czekać dopóki nie wrócisz.;I'll wait until you come back.
nowa;new;Mam nową książkę do przeczytania.;I have a new book to read.
kobieta;woman;Ta kobieta jest bardzo inteligentna.;That woman is very intelligent.
miłość;love;Miłość jest silniejsza od nienawiści.;Love is stronger than hate.
ziemi;earth;Jestem obywatelem Ziemi.;I am a citizen of the Earth.
przynajmniej;at least;Przynajmniej spróbuj tego zrobić.;At least try to do it.
nasza;our, ours (feminine);To jest nasza książka.;This is our book.
słucham;I'm listening;Słucham uważnie, mów dalej.;I'm listening attentively, go on.
naszych;our, ours (plural);To są nasze rzeczy.;These are our things.
między;between;Spotkajmy się między domem a restauracją.;Let's meet between the house and the restaurant.
dostać;to get, to receive;Czy mogę dostać trochę wody?;Can I get some water?
czasem;sometimes;Czasem lubię oglądać filmy.;Sometimes I like to watch movies.
chciałam;I wanted;Chciałam iść na spacer, ale pogoda była zła.;I wanted to go for a walk, but the weather was bad.
jaką;which (feminine);Jaką książkę poleciłbyś do przeczytania?;Which book would you recommend to read?
gówno;shit;Co za gówno!;What a shit!
brzmi;it sounds;To brzmi interesująco.;It sounds interesting.
chcemy;we want;Chcemy zmienić świat na lepsze.;We want to change the world for the better.
każdego;everyone, everybody;To dotyczy każdego z nas.;It applies to everyone of us.
raczej;rather, more likely;Raczej pójdę na spacer niż oglądam telewizję.;I would rather go for a walk than watch TV.
możliwe;possible;Wszystko jest możliwe, jeśli tylko uwierzysz.;Everything is possible if you just believe.
każdym;every, each;Musimy zrobić to w każdym przypadku.;We need to do it in each case.
dawaj;give (informal);Dawaj mi to.;Give me that.
nazywa;it's called;To się nazywa sztuka.;It's called art.
zabrać;to take, to bring;Zabierz ze sobą parasol, może padać.;Take an umbrella with you, it might rain.
dziewczyny;girls;Te dziewczyny są moimi przyjaciółkami.;These girls are my friends.
miałeś;you had;Miałeś szansę, ale ją zmarnowałeś.;You had a chance, but you wasted it.
chłopaki;boys, guys;Spotkam się z chłopakami na piwie.;I'm meeting the guys for a beer.
doktorze;doctor (form of address);Dobrze się czuję, doktorze.;I feel fine, doctor.
potrzebuje;I need;Potrzebuję pomocy z tym zadaniem.;I need help with this task.
ostatni;last;To był mój ostatni raz.;That was my last time.
świata;world;To jest najlepsza restauracja na świecie.;This is the best restaurant in the world.
serce;heart;Moje serce bije szybko.;My heart is beating fast.
martw;don't worry;Nie martw się, wszystko będzie dobrze.;Don't worry, everything will be fine.
wielki;big, great;To jest wielki sukces.;This is a great success.
żyć;to live;Chcę żyć pełnią życia.;I want to live life to the fullest.
one;they;One zawsze wspierają mnie w trudnych chwilach.;They always support me in difficult times.
plan;plan;Mam plan na przyszłość.;I have a plan for the future.
pl;please;Daj mi to, pl.;Give me that, please.
potrzebujemy;we need;Potrzebujemy więcej czasu na zakończenie projektu.;We need more time to finish the project.
żadnego;no, none;Nie mam żadnego pomysłu.;I have no idea.
kapitanie;captain (form of address);Jak się czujesz, kapitanie?;How are you feeling, captain?
zobaczenia;see you;Do zobaczenia jutro na spotkaniu.;See you tomorrow at the meeting.
możecie;you can;Możecie to zrobić, wierzę w was.;You can do it, I believe in you.
wspaniale;wonderful, great;To było wspaniałe przeżycie.;It was a wonderful experience.
ogóle;at all;Nie rozumiem tego w ogóle.;I don't understand it at all.
także;also, too;Ja też lubię czytać książki.;I also like to read books.
pół;half;Daj mi pół z tego ciasta.;Give me half of this cake.
idziesz;you go;Gdzie idziesz w ten weekend?;Where are you going this weekend?
pojęcia;no idea;Nie mam pojęcia, o czym mówisz.;I have no idea what you're talking about.
twoich;your, yours (plural possessive);Zadzwonię do twoich rodziców.;I'll call your parents.
czymś;something;Widziałem coś dziwnego na ulicy.;I saw something strange on the street.
cztery;four;Mam cztery siostry.;I have four sisters.
skarbie;honey, darling;Jak się czujesz, skarbie?;How are you feeling, honey?
tata;dad, father;Mój tata jest najlepszym ojcem na świecie.;My dad is the best father in the world.
naszego;our, ours (masculine);To jest naszego psa.;This is our dog.
panią;ma'am, Mrs.;Dzień dobry, panią.;Good morning, ma'am.
wybacz;excuse me, forgive me;Wybacz mi, popełniłem błąd.;Excuse me, I made a mistake.
chcecie;you want;Czego chcecie na obiad?;What do you want for dinner?
zrobisz;you will do;Wierzę, że to zrobisz.;I believe you will do it.
pokój;room;Proszę wejść do pokoju numer trzy.;Please enter room number three.
uda;success;Życzę ci powodzenia i udanych wakacji.;I wish you success and a great vacation.
głowy;head;Nie daj temu wejść ci do głowy.;Don't let it get to your head.
szczęście;happiness, luck;Życzę ci dużo szczęścia w nowym roku.;I wish you lots of happiness in the new year.
naszym;our, ours (neutral possessive);To jest naszym wspólnym projektem.;This is our joint project.
syn;son;Mój syn jest bardzo zdolny.;My son is very talented.
głowę;head;Trzymaj głowę wysoko i nie poddawaj się.;Hold your head high and don't give up.
rozmawiać;to talk, to converse;Chciałbym z tobą porozmawiać na ten temat.;I would like to talk to you about this.
krwi;blood;Jesteśmy rodzeństwem z jednej krwi.;We are siblings of the same blood.
wszystkiego;everything;Życzę ci wszystkiego najlepszego.;I wish you all the best.
zabił;he killed;On zabił człowieka.;He killed a man.
czasie;time;Wszystko przychodzi w odpowiednim czasie.;Everything comes in the right time.
ciało;body;Dbaj o swoje ciało, to jest twoja świątynia.;Take care of your body, it's your temple.
należy;it belongs;To nie należy do mnie.;It doesn't belong to me.
dziwne;strange, weird;To jest dziwne zachowanie.;This is strange behavior.
została;she stayed, she remained;Ona została na imprezie do samego końca.;She stayed at the party until the end.
ruszaj;move, get going;Ruszaj, spóźnimy się.;Get going, we'll be late.
cała;whole, entire;Przeczytałem całą książkę w jedną noc.;I read the whole book in one night.
strony;pages, sides;Na ile stron składa się ta książka?;How many pages does this book have?
jaka;what kind of, what;Jaka jest twoja ulubiona książka?;What is your favorite book?
mógłbym;I could;Mógłbym prosić o trochę wody?;Could I have some water, please?
oznacza;it means;To oznacza wiele dla mnie.;It means a lot to me.
taką;such, that kind of (feminine);Chciałbym mieć taką samą sukienkę.;I would like to have that kind of dress.
zostało;it remained, it was left;Zostało nam jeszcze niewiele czasu.;We have very little time left.
miasta;city;To jest piękne miasto.;This is a beautiful city.
tłumaczenie;translation;Czy masz jakieś tłumaczenie na ten tekst?;Do you have a translation for this text?
końca;end;Musimy dojść do końca tej drogi.;We need to reach the end of this road.
zostanie;will stay, will remain;On zostanie z nami na cały weekend.;He will stay with us for the whole weekend.
policja;police;Zadzwoń na policję, potrzebujemy pomocy.;Call the police, we need help.
mieli;they had;Mieli dużo szczęścia w życiu.;They had a lot of luck in life.
obchodzi;it matters, it concerns;To mnie nie obchodzi.;I don't care about it.
ode;from;Ode mnie dostaniesz pomoc.;You will receive help from me.
syna;son's;Oto prezent dla syna.;Here's a gift for my son.
twarz;face;Ma piękną twarz.;She has a beautiful face.
mieliśmy;we had;Mieliśmy wspaniały czas razem.;We had a great time together.
lecz;but, however;Chciałbym pomóc, lecz nie mam czasu.;I would like to help, but I don't have time.
ostatnio;recently, lately;Ostatnio widziałem ją na ulicy.;I saw her on the street recently.
daleko;far;Czy to miejsce jest daleko stąd?;Is this place far from here?
rodziny;family;Moja rodzina jest dla mnie najważniejsza.;My family is the most important thing to me.
lubisz;you like;Lubisz jeść sushi?;Do you like eating sushi?
blisko;close, near;Sklep jest blisko.;The shop is close by.
zły;bad, wrong;To był zły wybór.;That was a bad choice.
środku;in the middle, in the center;Kwiat jest środku stołu.;The flower is in the middle of the table.
byliśmy;we were;Byliśmy tam razem.;We were there together.
drodze;on the road;Widziałem cię na drodze.;I saw you on the road.
